,cosine1,cosine2,euclidean1,euclidean2,l21,l22,l11,l12,canberra1,canberra2,chebyshev1,chebyshev2,correlation1,correlation2
21166,-6.146203,-0.06801755,5.9172773,-0.13886595,5.9172773,-0.13886595,5.8078804,1.4190668,5.887777,1.300411,-6.420572,-2.3034494,-6.4948883,1.5239702
21167,-6.4796224,-1.240692,6.2293677,1.0401329,6.2293677,1.0401329,5.6635265,2.806086,5.9124527,2.718075,-5.7395825,-1.0938997,-5.8110776,-0.40481144
21168,-5.1157846,-0.6273533,4.7318473,0.50433725,4.7318473,0.50433725,4.612429,1.5335283,4.5973325,1.5021057,-5.190673,-2.026561,-4.528878,0.7784325
21169,-4.127772,0.007855564,4.124279,-0.098215446,4.124279,-0.098215446,3.9346025,0.9167196,4.262384,1.0398602,-4.9935684,-2.8213058,-4.2636714,1.2289581
21170,-5.0780582,1.5735335,4.8252935,-1.6893295,4.8252935,-1.6893295,5.3749914,-0.39354092,4.8442717,-0.8663408,-6.0146937,-3.9286458,-5.852756,2.933364
21171,-4.616613,-0.4329553,4.3503103,0.26453692,4.3503103,0.26453692,4.0194116,1.1316264,4.096166,1.2633429,-4.4813337,-2.1917746,-4.0070314,0.90564173
21172,-2.8179529,0.060830276,2.7996583,-0.1429795,2.7996583,-0.1429795,3.5284364,0.16346736,3.834691,-0.60483664,-3.574251,-3.3358936,-2.6614702,1.754549
21173,-3.4597547,0.23279843,3.5444927,-0.29432443,3.5444927,-0.29432443,3.5421593,0.593698,3.7769587,0.21026544,-4.5247035,-3.618516,-3.762674,1.5961396
21174,-4.217648,-0.33853808,4.011349,0.26411182,4.011349,0.26411182,4.0403633,1.2675029,4.027107,1.2545168,-4.523727,-2.325165,-4.387051,0.81679684
21175,-6.9997067,0.04559541,6.6354012,-0.32203832,6.6354012,-0.32203832,6.8091908,1.5898306,6.546337,1.46374,-6.786447,-2.356473,-6.7138042,2.083619
21176,-4.987887,-0.53296727,4.710591,0.49937883,4.710591,0.49937883,4.7091813,1.5277095,4.7418194,1.4668952,-4.7498765,-1.7949493,-4.0991483,1.0477246
21177,-5.8318324,1.6948649,5.7630196,-1.8580011,5.7630196,-1.8580011,6.5316205,0.055323016,5.7009125,-0.63613904,-6.4181857,-3.8582892,-6.570921,2.8574536
21178,-3.7627757,0.8039354,3.7408829,-1.0022995,3.7408829,-1.0022995,3.9485276,0.090975545,3.9200647,-0.4501152,-4.7616487,-3.8254745,-4.104217,2.2618847
21179,-4.1423244,-2.1932278,3.9661925,2.2598763,3.9661925,2.2598763,3.4854536,3.033763,3.4102945,2.7416518,-3.8305323,-0.3286952,-3.7924316,-1.87092
