ObjectNumber,FA1,FA2,FP,FT1,FT2,FTM,NA1,NA2,NP,NT1,NT2,NTM,RR,Class,GROUP,DAY,CONDITION,PERCENTAGE,EFFICIENCY,cosine1,cosine2,euclidean1,euclidean2,l21,l22,l11,l12,canberra1,canberra2,chebyshev1,chebyshev2,correlation1,correlation2,DISH
78,72.8,27.2,458.016,263.917,2153.956,776.24,65.964,34.036,593.079,409.503,2464.847,1107.307,1.282,5,Day 1-100K,1,100K,0.62,Low,4.507314,4.44497,-4.85776,-3.7990856,-4.85776,-3.7990856,-2.50957,-5.2852783,-2.7456672,-4.586119,3.9973056,3.2783098,2.4197996,-2.5408118,1
123,72.644,27.356,481.404,247.396,2194.913,778.332,65.88,34.12,622.447,414.423,2553.697,1141.476,1.279,5,Day 1-100K,1,100K,0.62,Low,4.477501,4.6719627,-4.897152,-4.122539,-4.897152,-4.122539,-2.4649818,-5.454778,-2.8404086,-4.827136,3.8747697,3.134528,2.474664,-2.45883,1
163,75.074,24.926,516.112,230.938,2195.601,719.961,65.82,34.18,667.978,406.411,2516.239,1133.735,1.274,5,Day 1-100K,1,100K,0.62,Low,5.021922,4.7631836,-5.3731403,-4.28771,-5.3731403,-4.28771,-3.310949,-5.4154963,-3.6489453,-4.568837,3.8778052,2.9070106,2.9651194,-3.0983753,1
149,74.606,25.394,689.172,225.898,2224.078,732.172,64.346,35.654,788.121,425.055,2585.468,1195.073,1.271,5,Day 1-100K,1,100K,0.62,Low,5.205986,5.5863376,-5.4892516,-5.075325,-5.4892516,-5.075325,-3.251986,-6.2883587,-3.9346097,-5.169942,3.3073494,2.6152337,3.4808893,-3.1140518,1
35,74.169,25.831,577.272,251.059,2221.856,758.68,64.12,35.88,728.119,460.075,2664.734,1250.689,1.265,5,Day 1-100K,1,100K,0.62,Low,4.7894945,5.8790607,-4.9607053,-5.750024,-4.9607053,-5.750024,-2.9071293,-6.614967,-3.8463295,-5.66291,4.091772,1.6565672,3.5043108,-2.7193696,1
10,74.348,25.652,430.449,272.162,2296.717,789.08,72.367,27.633,547.857,429.203,2436.002,977.739,1.264,4,Day 1-100K,1,100K,0.62,Low,1.5412613,2.3779855,-2.0555863,-2.0477319,-2.0555863,-2.0477319,-0.49765733,-1.9946296,0.15849666,-3.6117487,1.3359355,3.236892,0.044180952,0.4885232,1
127,73.934,26.066,478.65,273.717,2365.481,815.987,67.147,32.853,613.1,463.272,2503.922,1130.828,1.261,5,Day 1-100K,1,100K,0.62,Low,4.0500426,4.3743753,-4.105586,-3.6965816,-4.105586,-3.6965816,-2.2484365,-4.4889655,-2.4726539,-4.857689,3.2321892,2.2890892,1.4724022,-1.5271714,1
71,73.171,26.829,541.713,238.779,2190.517,760.963,63.142,36.858,693.779,421.005,2468.41,1175.096,1.261,5,Day 1-100K,1,100K,0.62,Low,4.8383946,5.755036,-5.299522,-5.255883,-5.299522,-5.255883,-2.8528051,-6.41213,-3.6887188,-5.427837,3.9854047,2.1855626,3.5008729,-2.8783107,1
13,74.453,25.547,494.779,250.914,2226.358,754.821,67.794,32.206,633.525,433.076,2494.69,1092.85,1.253,5,Day 1-100K,1,100K,0.62,Low,4.125308,4.037449,-4.486067,-3.7069879,-4.486067,-3.7069879,-2.7547524,-4.5947595,-2.6527221,-4.490552,3.6271107,3.0520504,1.8206208,-1.9920276,1
136,74.089,25.911,499.185,232.66,2213.561,744.391,67.831,32.169,637.908,454.861,2599.503,1139.777,1.252,5,Day 1-100K,1,100K,0.62,Low,4.4163704,4.270557,-4.6576023,-3.891018,-4.6576023,-3.891018,-2.8281767,-4.8727727,-3.0224435,-4.6345887,3.5899606,2.977428,2.253884,-2.537032,1
